,event_id,user_id,user_code,plan_date,close_date,customer_id,region_name,region_code,deal_id,description,close_comment
6102,43888.0,21.0,,2021-03-09,2021-03-09,1051.0,Ленинградская область,47.0,,Планирование демопоказа Трактор и посевной комплекс,продолжаем обсуждать сеялку. на конец недели планируем встречу с целью презентации машины.
6103,43887.0,32.0,,2021-03-05,2021-03-09,1242.0,Воронежская область,36.0,,Потребность в посевном оборудовании. Обсуждение.,"Проведена встреча с руководителем хозяйства, техникой укомплектованы, потребности в данный момент не выявлено."
6104,43886.0,23.0,,2021-03-04,2021-03-04,4463.0,Саратовская область,64.0,,Обсудить потребность в тракторе,"Встреча с Владиславом, заезжал проговорить по дальнейшей работе с нами. Интерес к тракторам JD, почвообработка. Комбайны со своей стороны предлагает клиентам."
6105,43885.0,23.0,,2021-02-11,2021-02-10,4523.0,Воронежская область,36.0,,Выявление потребности в технике,Встреча с Алексеем по тракторам. Есть клиент на трактора 8 серии NH. Если будет  что то из таких позиций предлагать. Комбайны предлагает со своей стороны. Торум 740 приедет смотреть в марте
6106,43884.0,23.0,,2021-02-24,2021-02-24,4462.0,Липецкая область,48.0,,Обсудить потребность в тракторе,Встреча с Михаилом по списку техники находящейся у нас на стоке. Интересны комбайны JD. Предлагает клиентам трактора 8 серии.
6107,43883.0,23.0,,2021-02-26,2021-02-26,4461.0,Ростовская область,61.0,,Встреча по трактору,"Встреча с Алексеем, подписание договора на зерноуборочный комбайн Торум 740, с отделения Моховое. Предоплата в размере 1млн рублей."
6108,43882.0,23.0,,2021-02-08,2021-02-08,4461.0,Ростовская область,61.0,,Планирование демопоказа Трактор и посевной комплекс,"Встреча с Алексеем, осмотр комбайнов Торум 740. Определяются на машине"
6109,43881.0,23.0,,2021-02-02,2021-02-02,4457.0,Орловская область,57.0,,Приобретение трактора 150 л.с. Обсуждение деталей,"Встреча с Алексеем и клиентом, осмотр тракторов Террион и Челленджер. Клиент принимает решение."
6110,43880.0,23.0,,2021-03-01,2021-03-01,4459.0,Липецкая область,48.0,,Обсуждение условий сделки,"Встреча с Алексеем, есть потребность в почвообработке и сеялках, интерес к ДМС9м, анкерный сошник."
6111,43879.0,23.0,,2021-01-22,2021-01-22,4874.0,Ставропольский край,26.0,,Приобретение трактора 150 л.с. Обсуждение деталей,"Встреча с Сергеем, осмотр зерноуборочных комбайнов на площадке. Интерес к Торумам 740, просит отсрочку платежа, на срок до сентября месяца.."
6112,43878.0,23.0,,2021-01-20,2021-01-20,4879.0,Воронежская область,36.0,,Встреча по трактору,"Встреча с Павлом по БУ техники на стоке БМ. Интерес в тракторах 8серии, зерноуборочных комбайнах импортного производства. Хочет с нами сработать на взаимовыгодных условиях."
6113,43877.0,23.0,,2021-01-12,2021-01-12,3254.0,Курская область,46.0,,Выяснить потребность в технике,"Встреча с Алексеем по трактору 595В. Осмотр машины провели, будет думать. Интерес к комбайну импортного производства, предлагать свежие машины."
6114,43876.0,23.0,,2021-01-28,2021-01-28,893.0,Липецкая область,48.0,,Встреча по трактору,"Встреча совместно с Романом П., проговорили по условиям Трейд Ин, оплаты и отгрузки машин."
6115,43875.0,27.0,,2021-03-09,2021-03-09,9.0,Липецкая область,48.0,4475.0,Приобретение трактора 150 л.с. Обсуждение деталей,Клиент оплатил 10% по договору. Три трактора 7060 поставляем до 25 апреля.
